time,node,node_capacity,used_resources
60.0,pop8,1,0.0
60.0,pop9,1,0.0
60.0,pop10,1,0.0
66.0,pop0,1,1.0
66.0,pop1,1,1.0
66.0,pop2,1,0.0
66.0,pop3,1,0.0
66.0,pop4,1,0.0
66.0,pop5,1,0.0
66.0,pop6,1,0.0
66.0,pop7,1,0.0
66.0,pop8,1,0.0
66.0,pop9,1,0.0
66.0,pop10,1,1.0
72.0,pop0,1,1.0
72.0,pop1,1,0.0
72.0,pop2,1,0.0
72.0,pop3,1,0.0
72.0,pop4,1,0.0
72.0,pop5,1,0.0
72.0,pop6,1,0.0
72.0,pop7,1,0.0
72.0,pop8,1,0.0
72.0,pop9,1,0.0
72.0,pop10,1,1.0
78.0,pop0,1,0.0
78.0,pop1,1,1.0
78.0,pop2,1,0.0
78.0,pop3,1,0.0
78.0,pop4,1,0.0
78.0,pop5,1,0.0
78.0,pop6,1,0.0
78.0,pop7,1,0.0
78.0,pop8,1,0.0
78.0,pop9,1,0.0
78.0,pop10,1,0.0
84.0,pop0,1,1.0
84.0,pop1,1,0.0
84.0,pop2,1,0.0
84.0,pop3,1,0.0
84.0,pop4,1,0.0
84.0,pop5,1,0.0
84.0,pop6,1,0.0
84.0,pop7,1,0.0
84.0,pop8,1,0.0
84.0,pop9,1,0.0
84.0,pop10,1,1.0
90.0,pop0,1,0.0
90.0,pop1,1,1.0
90.0,pop2,1,0.0
90.0,pop3,1,0.0
90.0,pop4,1,0.0
90.0,pop5,1,0.0
90.0,pop6,1,0.0
90.0,pop7,1,0.0
90.0,pop8,1,0.0
90.0,pop9,1,0.0
90.0,pop10,1,0.0
96.0,pop0,1,1.0
96.0,pop1,1,1.0
96.0,pop2,1,0.0
96.0,pop3,1,0.0
96.0,pop4,1,0.0
96.0,pop5,1,0.0
96.0,pop6,1,0.0
96.0,pop7,1,0.0
96.0,pop8,1,0.0
96.0,pop9,1,0.0
96.0,pop10,1,1.0
102.0,pop0,1,1.0
102.0,pop1,1,0.0
102.0,pop2,1,0.0
102.0,pop3,1,0.0
102.0,pop4,1,0.0
102.0,pop5,1,0.0
102.0,pop6,1,0.0
102.0,pop7,1,0.0
102.0,pop8,1,0.0
102.0,pop9,1,0.0
102.0,pop10,1,1.0
108.0,pop0,1,0.0
108.0,pop1,1,1.0
108.0,pop2,1,0.0
108.0,pop3,1,0.0
108.0,pop4,1,0.0
108.0,pop5,1,0.0
108.0,pop6,1,0.0
108.0,pop7,1,0.0
108.0,pop8,1,0.0
108.0,pop9,1,0.0
108.0,pop10,1,0.0
114.0,pop0,1,1.0
114.0,pop1,1,0.0
114.0,pop2,1,0.0
114.0,pop3,1,0.0
114.0,pop4,1,0.0
114.0,pop5,1,0.0
114.0,pop6,1,0.0
114.0,pop7,1,0.0
114.0,pop8,1,0.0
114.0,pop9,1,0.0
114.0,pop10,1,1.0
120.0,pop0,1,0.0
120.0,pop1,1,1.0
120.0,pop2,1,0.0
120.0,pop3,1,0.0
120.0,pop4,1,0.0
120.0,pop5,1,0.0
120.0,pop6,1,0.0
120.0,pop7,1,0.0
120.0,pop8,1,0.0
120.0,pop9,1,0.0
120.0,pop10,1,0.0
126.0,pop0,1,1.0
126.0,pop1,1,1.0
126.0,pop2,1,0.0
126.0,pop3,1,0.0
126.0,pop4,1,0.0
126.0,pop5,1,0.0
126.0,pop6,1,0.0
